sent_id	index	Inflection/Surface form	Stem / Root	Category	Gender	Number	Person	Case	Vib	Tam	Voice	head_index	head_inflection	karaka Relation
1	1	क्रिसमस	क्रिसमस	n	m	sg	3	o	0_का	0	-	3.0	उपहारों	r6
1	2	के	का	psp	m	pl	-	o	-	-	-	1.0	क्रिसमस	lwg__psp
1	3	उपहारों	उपहार	n	m	pl	3	o	0_से	0	-	5.0	लदे	rh
1	4	से	से	psp	-	-	-	-	-	-	-	3.0	उपहारों	lwg__psp
1	5	लदे	लद	v	m	pl	any	-	या	yA	-	8.0	कैदी	nmod__k1inv
1	6	आठ	आठ	num	any	any	-	any	-	-	-	8.0	कैदी	nmod__adj
1	7	पाकिस्तानी	पाकिस्तानी	adj	any	any	-	d	-	-	-	8.0	कैदी	nmod__adj
1	8	कैदी	कैदी	n	m	pl	3	d	0	0	-	16.0	लौट	k1
1	9	सोमवार	सोमवार	n	m	sg	3	o	0_को	0	-	16.0	लौट	k7t
1	10	को	को	psp	-	-	-	-	-	-	-	9.0	सोमवार	lwg__psp
1	11	वाघा	वाघा	n	m	sg	3	d	0	0	-	12.0	बार्डर	pof__cn
1	12	बार्डर	बार्डर	n	m	sg	3	o	0_से	0	-	14.0	होकर	k5
1	13	से	से	psp	-	-	-	-	-	-	-	12.0	बार्डर	lwg__psp
1	14	होकर	हो	v	any	any	any	-	कर	kara	-	16.0	लौट	vmod
1	15	स्वदेश	स्वदेश	n	m	sg	3	d	0	0	-	16.0	लौट	k2p
1	16	लौट	लौट	v	any	pl	any	-	0_जा+या१	0	active	0.0	ROOT	main
1	17	गए	जा	v	m	pl	any	-	या१	yA1	-	16.0	लौट	lwg__vaux
1	18	।	।	punc	-	-	-	-	-	-	-	16.0	लौट	rsym
2	1	रिहा	रिहा	adj	any	any	-	-	-	-	-	2.0	हुए	pof
2	2	हुए	हो	v	m	pl	any	-	या	yA	-	3.0	कैदियों	nmod__k1inv
2	3	कैदियों	कैदी	n	m	pl	3	o	0_में	0	-	16.0	है	k7
2	4	में	में	psp	-	-	-	-	-	-	-	3.0	कैदियों	lwg__psp
2	5	१५	१५	num	any	any	-	-	any	-	-	8.0	मसीह	nmod__adj
2	6	वर्षीय	वर्षीय	adj	any	any	-	d	-	-	-	8.0	मसीह	nmod__adj
2	7	फराह	फराह	n	f	sg	3	d	0	0	-	8.0	मसीह	pof__cn
2	8	मसीह	मसीह	n	any	sg	3	d	0	0	-	9.0	तथा	ccof
2	9	तथा	तथा	avy	-	-	-	-	-	-	-	16.0	है	k1
2	10	१७	१७	num	any	any	any	-	-	-	-	13.0	शाह	nmod__adj
2	11	वर्षीय	वर्षीय	adj	any	any	-	d	-	-	-	13.0	शाह	nmod__adj
2	12	अल्ताफ	अल्ताफ	n	m	sg	3	d	0	0	-	13.0	शाह	pof__cn
2	13	शाह	शाह	n	any	sg	3	d	0	0	-	9.0	तथा	ccof
2	14	भी	भी	avy	-	-	-	-	-	-	-	13.0	शाह	lwg__rp
2	15	शामिल	शामिल	adj	any	any	-	-	-	-	-	16.0	है	k1s
2	16	है	है	v	any	pl	3	-	है	hE	active	0.0	ROOT	main
2	17	।	।	punc	-	-	-	-	-	-	-	16.0	है	rsym
3	1	भारत	भारत	n	m	sg	3	d	0	0	-	2.0	सरकार	pof__cn
3	2	सरकार	सरकार	n	f	sg	3	o	0_ने	0	-	11.0	कर	k1
3	3	ने	ने	psp	-	-	-	-	-	-	-	2.0	सरकार	lwg__psp
3	4	रविवार	रविवार	n	m	sg	3	o	0_को	0	-	11.0	कर	k7t
3	5	को	को	psp	-	-	-	-	-	-	-	4.0	रविवार	lwg__psp
3	6	ही	ही	avy	-	-	-	-	-	-	-	4.0	रविवार	lwg__rp
3	7	इन	यह	pn	any	pl	3	o	-	-	-	8.0	कैदियों	nmod__adj
3	8	कैदियों	कैदी	n	m	pl	3	o	0_को	0	-	11.0	कर	k2
3	9	को	को	psp	-	-	-	-	-	-	-	8.0	कैदियों	lwg__psp
3	10	रिहा	रिहा	adj	any	any	-	-	-	-	-	11.0	कर	pof
3	11	कर	कर	v	m	sg	any	-	0_दे+या_था	0	active	0.0	ROOT	main
3	12	दिया	दे	v	m	sg	any	-	या	yA	-	11.0	कर	lwg__vaux
3	13	था	था	v	m	sg	any	-	था	WA	-	12.0	दिया	lwg__vaux_cont
3	14	।	।	punc	-	-	-	-	-	-	-	11.0	कर	rsym
4	1	इन	यह	pn	any	pl	3	o	-	-	-	2.0	कैदियों	nmod__adj
4	2	कैदियों	कैदी	n	m	pl	3	o	0_को	0	-	22.0	सौंपा	k2
4	3	को	को	psp	-	-	-	-	-	-	-	2.0	कैदियों	lwg__psp
4	4	आज	आज	n	m	sg	3	d	0	0	-	22.0	सौंपा	k7t
4	5	सीमा	सीमा	n	f	sg	3	d	0	0	-	7.0	बल	pof__cn
4	6	सुरक्षा	सुरक्षा	n	f	sg	3	d	0	0	-	7.0	बल	pof__cn
4	7	बल	बल	n	m	sg	3	o	0	0	-	8.0	बीएसएफ	nmod
4	8	बीएसएफ	बीएसएफ	n	m	sg	3	o	0_का	0	-	11.0	कमांडर	nmod
4	9	के	का	psp	m	sg	-	o	-	-	-	8.0	बीएसएफ	lwg__psp
4	10	असिस्टेंट	असिस्टेंट	n	m	sg	3	d	0	0	-	11.0	कमांडर	pof__cn
4	11	कमांडर	कमांडर	n	m	sg	3	o	0	0	-	13.0	यादव	nmod
4	12	लखीराम	लखीराम	n	m	sg	3	d	0	0	-	13.0	यादव	pof__cn
4	13	यादव	यादव	n	any	sg	3	o	0_ने	0	-	22.0	सौंपा	k1
4	14	ने	ने	psp	-	-	-	-	-	-	-	13.0	यादव	lwg__psp
4	15	पाकिस्तान	पाकिस्तान	n	m	sg	3	d	0	0	-	16.0	रेंजर्स	pof__cn
4	16	रेंजर्स	रेंजर	n	m	pl	3	o	0_का	0	-	20.0	सुमेधी	r6
4	17	के	का	psp	m	sg	-	o	-	-	-	16.0	रेंजर्स	lwg__psp
4	18	मेजर	मेजर	n	m	sg	3	o	0	0	-	20.0	सुमेधी	nmod
4	19	अब्दुल	अब्दुल	n	m	sg	3	d	0	0	-	20.0	सुमेधी	pof__cn
4	20	सुमेधी	सुमेधी	n	m	sg	3	o	0_को	0	-	22.0	सौंपा	k4
4	21	को	को	psp	-	-	-	-	-	-	-	20.0	सुमेधी	lwg__psp
4	22	सौंपा	सौंप	v	m	sg	any	-	या	yA	active	0.0	ROOT	main
4	23	।	।	punc	-	-	-	-	-	-	-	22.0	सौंपा	rsym
5	1	चार	चार	num	any	any	-	any	-	-	-	3.0	कैदी	nmod__adj
5	2	मोहम्मद	मोहम्मद	n	m	sg	3	d	0	0	-	5.0	जाफर	pof__cn
5	3	जाफर	जाफर	n	m	sg	3	d	0	0	-	12.0	तथा	ccof
5	4	,	COMMA	punc	-	-	-	-	-	-	-	5.0	जाफर	rsym
5	5	राजा	राजा	n	m	sg	3	d	0	0	-	8.0	अशरफ	pof__cn
5	6	अशरफ	अशरफ	n	m	sg	3	d	0	0	-	12.0	तथा	ccof
5	7	,	COMMA	punc	-	-	-	-	-	-	-	8.0	अशरफ	rsym
5	8	अनवर	अनवर	n	m	sg	3	d	0	0	-	11.0	मसीह	pof__cn
5	9	मसीह	मसीह	n	any	sg	3	d	0	0	-	12.0	तथा	ccof
5	10	तथा	तथा	avy	-	-	-	-	-	-	-	3.0	कैदी	rs
5	11	मोहम्मद	मोहम्मद	n	m	sg	3	d	0	0	-	14.0	अख्तर	pof__cn
