sent_id	index	Inflection/Surface form	Stem / Root	Category	Gender	Number	Person	Case	Vib	TAM	Voice	head_inflection	head_stem	karka Relation
1985	22	देश	देश	n	m	sg	3	d	0	0	-	है	है	k1
1985	23	आपके	आप	pn	m	pl	2	o	0_साथ	ke	-	है	है	ras-k1
1985	24	साथ	साथ	nst	m	sg	3	d	-	-	-	आपके	आप	lwg__psp
1985	25	है	है	v	any	sg	3	-	है	hE	active	कि	कि	ccof
1985	26	।	।	punc	-	-	-	-	-	-	-	कहा	कह	rsym
1986	1	उन्होंने	वह	pn	any	sg	3h	o	ने	ne	-	दिया	दे	k1
1986	2	यह	यह	pn	any	sg	3	d	0	0	-	दिया	दे	k2
1986	3	भी	भी	avy	-	-	-	-	-	-	-	यह	यह	lwg__rp
1986	4	आश्वासन	आश्वासन	n	m	sg	3	d	0	0	-	दिया	दे	pof
1986	5	दिया	दे	v	m	sg	any	-	या	yA	active	ROOT	ROOT	main
1986	6	कि	कि	avy	-	-	-	-	-	-	-	यह	यह	rs
1986	7	उनके	वह	pn	m	pl	3	o	का	kA	-	मदद	मदद	r6
1986	8	पुनर्वास	पुनर्वास	n	m	sg	3	o	0_में	0	-	दी	दे	k7
1986	9	में	में	psp	-	-	-	-	-	-	-	पुनर्वास	पुनर्वास	lwg__psp
1986	10	हर	हर	avy	-	-	-	-	-	-	-	मदद	मदद	nmod__adj
1986	11	संभव	संभव	adj	any	any	-	d	-	-	-	मदद	मदद	nmod__adj
1986	12	मदद	मदद	n	f	sg	3	d	0	0	-	दी	दे	k2
1986	13	दी	दे	v	f	sg	3	-	या_जा+गा	yA	active	कि	कि	ccof
1986	14	जाएगी	जा	v	f	sg	3	-	गा	gA	-	दी	दे	lwg__vaux
1986	15	।	।	punc	-	-	-	-	-	-	-	दिया	दे	rsym
1987	1	उन्होंने	वह	pn	any	sg	3h	o	ने	ne	-	कहा	कह	k1
1987	2	कहा	कह	v	m	sg	any	-	या	yA	active	ROOT	ROOT	main
1987	3	कि	कि	avy	-	-	-	-	-	-	-	कहा	कह	k2
1987	4	सुनामी	सुनामी	n	f	sg	3	o	0_में	0	-	मारे	मार	k7
1987	5	में	में	psp	-	-	-	-	-	-	-	सुनामी	सुनामी	lwg__psp
1987	6	मारे	मार	v	m	pl	any	-	या_जा+या१	yA	-	लोगों	लोग	nmod__k1inv
1987	7	गए	जा	v	m	pl	any	-	या१	yA1	-	मारे	मार	lwg__vaux
1987	8	लोगों	लोग	n	m	pl	3	o	0_का	0	-	परिजनों	परिजन	r6
1987	9	के	का	psp	m	pl	-	o	-	-	-	लोगों	लोग	lwg__psp
1987	10	परिजनों	परिजन	n	m	pl	3	o	0_को	0	-	दी	दे	k4
1987	11	को	को	psp	-	-	-	-	-	-	-	परिजनों	परिजन	lwg__psp
1987	12	प्रधानमंत्री	प्रधानमंत्री	n	m	sg	3	d	0	0	-	कोष	कोष	pof__cn
1987	13	राहत	राहत	n	f	sg	3	d	0	0	-	कोष	कोष	pof__cn
1987	14	कोष	कोष	n	m	sg	3	o	0_से	0	-	दी	दे	k5
1987	15	से	से	psp	-	-	-	-	-	-	-	कोष	कोष	lwg__psp
1987	16	एक	एक	num	any	any	-	any	-	-	-	लाख	लाख	mod
1987	17	लाख	लाख	num	any	any	-	any	-	-	-	रुपये	रुपया	nmod__adj
1987	18	रुपये	रुपया	n	m	sg	3	o	0_का	0	-	मदद	मदद	r6
1987	19	की	का	psp	f	sg	-	d	-	-	-	रुपये	रुपया	lwg__psp
1987	20	मदद	मदद	n	f	sg	3	d	0	0	-	दी	दे	k2
1987	21	दी	दे	v	f	sg	3	-	या_जा+गा	yA	passive	कि	कि	ccof
1987	22	जाएगी	जा	v	f	sg	3	-	गा	gA	-	दी	दे	lwg__vaux
1987	23	।	।	punc	-	-	-	-	-	-	-	कहा	कह	rsym
1988	1	प्रधानमंत्री	प्रधानमंत्री	n	m	sg	3	d	0	0	-	गए	जा	k1
1988	2	घने	घना	adj	m	pl	-	o	-	-	-	जंगलों	जंगल	nmod__adj
1988	3	जंगलों	जंगल	n	m	pl	3	o	0_में	0	-	बसे	बस	k7p
1988	4	में	में	psp	-	-	-	-	-	-	-	जंगलों	जंगल	lwg__psp
1988	5	बसे	बस	v	m	sg	any	-	या	yA	-	गांव	गाँव	nmod__k1inv
1988	6	कंकणा	कंकणा	n	m	sg	3	d	0	0	-	गांव	गाँव	nmod__adj
1988	7	गांव	गाँव	n	m	sg	3	d	0	0	-	गए	जा	k2p
1988	8	भी	भी	avy	-	-	-	-	-	-	-	गांव	गाँव	lwg__rp
1988	9	गए	जा	v	m	sg	3h	-	या	yA	active	और	और	ccof
1988	10	और	और	avy	-	-	-	-	-	-	-	ROOT	ROOT	main
1988	11	यहां	यहाँ	pn	-	-	-	o	0_का	-	-	आदिवासियों	आदिवासी	r6
1988	12	के	का	psp	m	pl	-	o	-	-	-	यहां	यहाँ	lwg__psp
1988	13	आदिवासियों	आदिवासी	n	m	pl	3	o	0_को	0	-	दिलाया	दिला	k4
1988	14	को	को	psp	-	-	-	-	-	-	-	आदिवासियों	आदिवासी	lwg__psp
1988	15	मदद	मदद	n	f	sg	3	o	0_का	0	-	भरोसा	भरोसा	r6-k2
1988	16	का	का	psp	m	sg	-	d	-	-	-	मदद	मदद	lwg__psp
1988	17	भरोसा	भरोसा	n	m	sg	3	d	0	0	-	दिलाया	दिला	pof
1988	18	दिलाया	दिला	v	m	sg	any	-	या	yA	active	और	और	ccof
1988	19	।	।	punc	-	-	-	-	-	-	-	और	और	rsym
1989	1	कई	कई	avy	-	-	-	-	-	-	-	स्थानों	स्थान	nmod__adj
1989	2	पर	पर	psp	-	-	-	-	-	-	-	स्थानों	स्थान	lwg__psp
1989	3	ने	ने	psp	-	-	-	-	-	-	-	पीएम	पीएम	lwg__psp
1989	4	पर	पर	psp	-	-	-	-	-	-	-	मौके	मौका	lwg__psp
1989	5	ही	ही	avy	-	-	-	-	-	-	-	मौके	मौका	lwg__rp
1989	6	अस्थायी	अस्थायी	adj	any	any	-	d	-	-	-	बसेरे	बसेरा	nmod__adj
1989	7	बसेरे	बसेरा	n	m	pl	3	d	0	0	-	बनाने	बना	pof
1989	8	तथा	तथा	avy	-	-	-	-	-	-	-	ROOT	ROOT	main
1989	9	राशन	राशन	n	m	sg	3	o	0	0	-	और	और	ccof
1989	10	,	COMMA	punc	-	-	-	-	-	-	-	राशन	राशन	rsym
1989	11	पीने	पी	v	any	sg	any	o	ना_का	nA	-	पानी	पानी	r6
1989	12	के	का	psp	m	sg	-	o	-	-	-	पीने	पी	lwg__psp
1989	13	पानी	पानी	n	m	sg	3	o	0	0	-	और	और	ccof
1989	14	और	और	avy	-	-	-	-	-	-	-	आपूर्ति	आपूर्ति	r6
1989	15	दवाइयों	दवाई	n	f	pl	3	o	0_का	0	-	और	और	ccof
1989	16	की	का	psp	f	sg	-	o	-	-	-	दवाइयों	दवाई	lwg__psp
1989	17	आपूर्ति	आपूर्ति	n	f	sg	3	o	0_का	0	-	निर्देश	निर्देश	r6-k2
1989	18	के	का	psp	m	pl	-	d	-	-	-	आपूर्ति	आपूर्ति	lwg__psp
1989	19	निर्देश	निर्देश	n	m	pl	3	d	0	0	-	दिए	दे	pof
1989	20	दिए	दे	v	m	pl	any	-	या	yA	active	तथा	तथा	ccof
1989	21	।	।	punc	-	-	-	-	-	-	-	तथा	तथा	rsym
1990	1	मनमोहन	मनमोहन	n	m	sg	3	d	0	0	-	सिंह	सिंह	pof__cn
1990	2	सिंह	सिंह	n	any	sg	3	o	0_ने	0	-	किया	कर	k1
1990	3	ने	ने	psp	-	-	-	-	-	-	-	सिंह	सिंह	lwg__psp
1990	4	११	११	num	any	any	-	any	-	-	-	घंटे	घंटा	nmod__adj
1990	5	घंटे	घंटा	n	m	sg	3	o	0_का	0	-	कार्यक्रम	कार्यक्रम	r6
1990	6	के	का	psp	m	sg	-	o	-	-	-	घंटे	घंटा	lwg__psp
1990	7	व्यस्त	व्यस्त	adj	any	any	-	o	-	-	-	कार्यक्रम	कार्यक्रम	nmod__adj
1990	8	कार्यक्रम	कार्यक्रम	n	m	sg	3	o	0_में	0	-	किया	कर	k7
1990	9	में	में	psp	-	-	-	-	-	-	-	कार्यक्रम	कार्यक्रम	lwg__psp
1990	10	तूफान	तूफान	n	m	sg	3	d	0	0	-	प्रभावित	प्रभावित	jjmod
1990	11	प्रभावित	प्रभावित	adj	any	any	-	o	-	-	-	बे	बे	nmod
1990	12	कैंपेल	कैंपेल	n	m	sg	3	d	0	0	-	बे	बे	pof__cn
1990	13	बे	बे	n	m	sg	3	o	0_का	0	-	दौरा	दौरा	r6-k2
1990	14	का	का	psp	m	sg	-	d	-	-	-	बे	बे	lwg__psp
1990	15	दौरा	दौरा	n	m	sg	3	d	0	0	-	किया	कर	pof
1990	16	किया	कर	v	m	sg	any	-	या	yA	active	ROOT	ROOT	main
1990	17	।	।	punc	-	-	-	-	-	-	-	किया	कर	rsym
1991	1	उत्तरांचल	उत्तरांचल	n	m	sg	3	o	0_से	0	-	आई	आ	k5
1991	2	से	से	psp	-	-	-	-	-	-	-	उत्तरांचल	उत्तरांचल	lwg__psp
1991	3	आई	आ	v	f	sg	any	-	या	yA	-	अध्यापिका	अध्यापिका	nmod__k1inv
1991	4	अध्यापिका	अध्यापिका	n	f	sg	3	o	0	0	-	कुसुम	कुसुम	nmod
1991	5	कुसुम	कुसुम	n	f	sg	3	o	0_ने	0	-	बताया	बता	k1
1991	6	ने	ने	psp	-	-	-	-	-	-	-	कुसुम	कुसुम	lwg__psp
1991	7	उन्हें	वह	pn	any	sg	3h	o	को	ko	-	बताया	बता	k4
1991	8	बताया	बता	v	m	sg	any	-	या	yA	active	ROOT	ROOT	main
1991	9	कि	कि	avy	-	-	-	-	-	-	-	बताया	बता	k2
1991	10	उचित	उचित	adj	any	any	-	d	-	-	-	व्यवस्था	व्यवस्था	nmod__adj
1991	11	चिकित्सा	चिकित्सा	n	f	sg	3	d	0	0	-	व्यवस्था	व्यवस्था	pof__cn
1991	12	व्यवस्था	व्यवस्था	n	f	sg	3	d	0	0	-	होने	हो	k2
1991	13	न	न	avy	-	-	-	-	-	-	-	होने	हो	lwg__neg
1991	14	होने	हो	v	any	any	any	o	ना_से	nA	-	आई	आ	rh
1991	15	से	से	psp	-	-	-	-	-	-	-	होने	हो	lwg__psp
1991	16	एक	एक	num	any	any	-	any	-	-	-	महिला	महिला	nmod__adj
